CENTRAL,NODO,NUMCRUCE,DIRECCION,TIPO
1,8,109,RONDA CAPUCHINOS - SAN JULIAN - MADRE DOLORES MARQUEZ,DYNAMIC
2,14,110,SAN JUAN DE RIBERA - FRAY ISIDORO DE SEVILLA,DYNAMIC_T3
2,16,111,DOCTOR FEDRIANI - DOCTOR LEAL CASTA—OS - DOCTOR MARA—ON - SAN JUAN DE RIBERA,DYNAMIC_T3
2,9,112,DOCTOR FEDRIANI - DIAMANTE - DOCTOR JAIME MARCOS,DYNAMIC_T3
2,8,113,DOCTOR FEDRIAN - AGATA - AVENIDA DE SAN LAZARO,DYNAMIC_T3
2,12,114,AVENIDA SANCHEZ PIZJUAN - DOCTOR MARA—ON - JOSE DIAZ,DYNAMIC
2,28,115,DOCTOR LEAL CASTA—OS - SOR FRANCISCA DOROTEA - AV. SAN LAZARO - MANUEL VILLALOBOS - LEON XIII,SENTINEL
2,29,116,RONDA DE PIO XII - SOR FRANCISCA DOROTEA - TRABAJADORES INMIGRANTES - LA BARZOLA - MADRESELVA ,DYNAMIC_T3
12,1,117,RONDA PIO XII - PLAZA DE FERNANDO BARQUIN,DYNAMIC_T3
12,25,118,RONDA   DE PIO XII - MIRAFLORES - AVENIDA PINO MONTANO - SAN JUAN DE LA SALLE - AVENIDA DE LLANES,DYNAMIC
2,18,119,P.P. BLAS INFANTE - METRO,DYNAMIC
11,1,120,CARRETERA CARMONA - FRANCISCO DE ARI√ëO - ALMADEN DE LA PLATA,MFU
11,6,121,CARRETERA CARMONA - ARQUITECTO JOSE GOMEZ MILLAN - ALONSO FERNANDEZ DE SANTILLANA,MFU
11,7,122,CARRETERA CARMONA - POLIGONO STORE - HESPERIDES - BALTASAR DE ALCAZAR,MFU
11,8,123,CARRETERA CARMONA - POLIGONO CALONGE - AVIACION,DYNAMIC
15,13,124,AVENIDA DE SENECA - SECOYA - A4 CTRA DE ANDALUCIA - ACCESO PARQUE ALCOSA - CARRETERA DE BRENES,DYNAMIC
1,12,125,AMADOR DE LOS RIOS - GONZALO BILBAO,SENTINEL
1,13,126,AMADOR DE LOS RIOS - LUIS CADARSO - JUAN DE VERA,MTR/3
10,14,127,AVENIDA EL GRECO - MANUEL RAMON ALARCON - ISAAC ALBENIZ - TARSO,MTR/4
